,PSNR
504,42.0017168427547
505,38.4627239018203
506,42.3452898745145
507,40.6272500684278
508,41.864196416518
509,36.9460496844065
510,38.846429334738
511,38.0638048141775
512,40.3226030900831
513,43.1654680091794
514,41.6145898606423
515,44.4327381523356
516,42.8012036494012
517,42.6127482962117
518,40.0069844725836
519,41.8778255398237
520,37.3271776589911
521,40.8120499313568
522,42.7480881988554
523,39.3940102531632
524,42.9955048250183
525,42.7743214472429
526,36.6324594700455
527,42.0877912695683
528,36.397830115722
529,43.8577449704426
530,41.732305283489
531,37.3368759384714
532,38.994342741169
533,40.7633704824023
534,42.240998694844
535,41.9055371134743
536,42.4908965038608
537,42.4692434354349
538,28.934547454534
539,35.5280754056694
540,40.8682127930846
541,42.9770639712656
542,42.5296894784551
543,44.3254902108404
544,42.0975632369666
545,45.0958722932586
546,43.8000535149031
547,41.6549229063568
548,44.0862520562536
549,39.0178393888218
550,40.6597803018399
551,35.5666877261212
552,41.4477358512786
553,43.4539693855171
554,35.915063682442
555,38.858941794871
556,38.7829988892891
557,39.1649565313878
558,39.7065471516241
559,41.3886423778271
560,44.1432970724752
561,34.4210966162432
562,39.2464508845321
563,36.3552692214985
564,38.5209448342084
565,30.8151334167064
566,39.2228362523221
567,35.7374839644903
568,42.4037076128257
569,40.0104827012191
570,41.4887166883749
571,41.1090088246398
572,41.1996443594672
573,37.4147508499803
574,42.2592478040254
575,39.3935119391098
576,38.3034347870731
577,41.1799570561359
578,42.949468778041
579,37.4437380320919
580,41.1383690699125
581,41.9227802184434
582,42.7070379081528
583,43.0061355761565
584,38.3781123315903
585,37.0320691882456
586,39.1277659912747
587,42.2079258003753
588,40.7925425618648
589,41.0207897432881
590,37.6719105993038
591,38.0557899033564
592,41.2534886471029
593,42.5358438462123
594,41.9207119840016
595,29.9060968794249
596,41.0408755019613
597,37.5010574002
598,37.4919268143585
599,39.8305798380782
600,42.662888358344
601,40.2423322930675
602,41.0496667921031
603,40.1984640064781
604,39.3667307561249
605,41.9184151143707
606,38.1766314852685
607,40.8197644074714
608,39.9236976129111
609,39.9522175010209
610,41.7832541798267
611,45.2728855390274
612,40.1223008960567
613,41.5463660038705
614,36.0300002075929
615,40.7596527333626
616,40.4844373324913
617,38.9220363731887
618,42.0058290515606
619,39.0707057724848
620,42.0796758069056
621,36.203035990117
622,41.5486355216708
623,40.2196646616736
624,39.8121921817047
625,42.6504532420316
626,37.7703192791528
627,43.707447722838
628,42.8700103721091
629,40.2798936592334
630,44.4519512498146
631,35.3531188441937
632,40.8925018548825
633,41.3026731970096
634,42.4310977059875
635,42.8114225446172
636,41.7903266184567
637,40.0598455317687
638,43.811346452042
639,40.633255980454
640,43.1007716803685
641,44.5461012264629
642,38.6543962639472
643,39.5881208726611
644,41.6678046842712
645,43.5068457404495
646,36.9708430203133
647,42.2220958804336
648,41.5827737093667
649,39.5138947803648
650,42.3915138822999
651,42.756171110648
652,42.6181934313885
653,38.1441419037336
654,42.4154872490105
655,39.787680683196
656,42.8185421400103
657,37.4019297413745
658,39.2143490771255
659,38.8405129077102
660,41.7091573700551
661,41.2403294469337
662,40.9166687415334
663,39.9369257910956
664,41.2975857392574
665,40.5200102602904
666,38.9676636208013
667,35.7110903924826
668,38.5865263578676
669,41.5220411315166
670,40.6728531883081
671,42.9554128071896
672,42.7569477410107
673,42.2330598704274
674,41.5737340169614
675,41.1769932831044
676,40.2976076693385
677,42.9735931067121
678,40.0178825517116
679,41.0434644824182
680,42.43275596552
681,38.4755164717432
682,42.3092655841431
683,40.9752872631555
684,34.6330952410142
685,40.4251476858741
686,42.2416816266596
687,41.0159416763567
688,41.2542998528362
689,41.881039416106
690,43.8811765301645
691,40.7195866981291
692,36.3842343050776
693,43.3917601349878
694,40.6106108941857
695,43.9433266638439
696,41.2207360557792
697,43.937528884943
698,33.8963466316026
699,38.7338025454206
700,39.3222307597166
701,43.7208581021578
702,36.8155135501717
703,40.824146097403
704,41.9456406419952
705,40.5027505454318
706,39.7747279802873
707,42.5736117120881
708,43.715639635713
709,42.9791837773468
710,37.8197487446581
711,39.939803077004
712,40.1628727166512
713,37.0405823983915
714,42.4654084893107
715,42.2811860162365
716,39.499632806162
717,43.7878038032072
718,42.2554691685484
719,42.5422370829594
720,39.1926072575399
721,38.8388251048131
722,36.6491903598327
723,40.76576750932
724,41.19745001893
725,41.5687701961525
726,39.7863143307159
727,41.8718893708602
728,40.823370853558
729,42.6304169319155
730,37.1593204666631
731,39.0466688600219
732,43.3973060339537
733,43.121592009901
734,41.121394333757
735,40.0047983872265
736,42.7034909466859
737,43.0300258009247
738,41.5523075895647
739,41.2659586108874
740,40.8085063752703
741,42.542299227928
742,40.8193870399369
743,38.2427855193594
744,36.2442210133811
745,41.7609809785881
746,41.2086070394182
747,37.9771083418488
748,34.5807897612085
749,42.936119637479
750,42.4394600835072
751,37.127896520003
752,37.6632873973175
753,37.4676094411232
754,41.4207983357892
755,40.5087472870128
756,40.8454319445632
757,41.7367191229223
758,38.2968285847683
759,42.4404593463031
760,40.7083496777415
761,39.3144967700812
762,42.1308447387494
763,36.3288412772382
764,42.7985261279173
765,43.2588792693601
766,38.5429682752874
767,37.5402232251234
768,40.8601761245212
769,43.045881536992
770,42.5210115374436
771,35.2391054083542
772,33.8824537193318
773,34.7913031245227
774,43.1216941685897
775,41.9829901796061
776,42.30329143389
777,41.2762480396916
778,41.7572991793736
779,42.5076599650288
780,42.1805930880531
781,41.2884829682832
782,44.0749383890234
783,43.7574575427729
784,43.0158717176605
785,42.7420082738944
786,42.6338560955314
787,45.1867363565687
788,36.3052671576353
789,42.7474751101531
790,35.5988930979308
791,41.0929595029561
792,32.5184724373863
793,37.4703563700249
794,34.493008070439
795,40.0792098508855
796,38.7303191725213
797,41.6937928030468
798,40.9817297269252
799,36.9182666024619
800,40.576120162021
801,41.8234568155294
802,41.3086072592065
803,42.3753010426195
804,38.6064933688558
805,37.0816114449767
806,39.5245910675046
807,38.5830729511554
808,35.3934968679589
809,37.2173653194199
810,40.9901740901892
811,41.2974982224944
812,41.0660403038223
813,33.7248213475749
814,40.2505220727971
815,40.3323617561749
816,43.3216028800532
817,40.1553732539833
818,40.4487012441349
819,42.113368429278
820,42.5000410644914
821,42.2824846703419
822,40.4695846981932
823,35.1413954387789
824,42.9858985509371
825,40.1542473330672
826,42.5342509797866
827,39.3188299017865
828,40.367947903968
829,43.7636568810215
830,43.9577718709512
831,43.9173789462665
832,36.3319230718407
833,42.4958761701594
834,41.0571553732484
835,42.8480542831639
836,37.6925532291422
837,40.6903863083184
838,42.9602641448447
839,42.2162318944233
840,41.9367951034855
841,43.0218394832293
842,42.9555419144368
843,40.8439138237532
