,PSNR
692,35.3142234330373
693,42.1389840722066
694,40.0312805094881
695,42.590632522879
696,39.8664743165917
697,42.5437128025489
698,35.1011228078866
699,40.1490377932723
700,38.0817526706362
701,42.3382819814451
702,35.6983892935475
703,39.6240079117596
704,40.8048558531263
705,39.1594134435636
706,38.5353279776469
707,41.1921662875142
708,42.3420540981937
709,41.5956471819137
710,36.5247008021318
711,39.0290419926277
712,40.2535007537124
713,35.9543429151179
714,41.4119116715158
715,40.914730122454
716,39.5324259541168
717,42.4166072726904
718,40.9939021413573
719,41.1769027398956
720,38.2936664749637
721,37.6403993431617
722,36.6901778005491
723,39.4152256481962
724,41.5569356739925
725,40.2584947810118
726,40.2167916134257
727,40.523556839593
728,39.7830861451717
729,41.2714183481436
730,36.9267264557858
731,39.0281769200335
732,42.0108445382321
733,41.8528009963244
734,39.8120569164848
735,38.6668554137221
736,41.3263615328585
737,41.6534071551357
738,41.0727989911192
739,39.8877683517084
740,39.504361732287
741,41.278704323294
742,39.559507692873
743,37.1118357757025
744,36.9764406262663
745,40.4426645398384
746,39.8885792224524
747,38.1387193354386
748,36.8965681673693
749,41.718580024537
750,41.0722682620798
751,35.9350385326148
752,36.4203372356338
753,37.5201466283642
754,40.065808308721
755,39.453829368807
756,39.5651611924143
757,40.4375736519595
758,39.4437246181938
759,41.0824834540212
760,39.4891980029702
761,38.2099030944262
762,40.7790459493855
763,35.2249480344557
764,41.4430709178661
765,41.8664353273518
766,38.8179398383315
767,37.5026614868099
768,39.5325100989348
769,41.7273669306679
770,41.1711871335325
771,37.3840491672419
772,35.2891291559278
773,36.4708886825285
774,41.7357777863477
775,40.6090480162269
776,40.9177388118744
777,39.9772684674817
778,40.4524703015168
779,41.163815590843
780,40.8142514082372
781,39.9967356159744
782,42.711044089029
783,42.3703494171509
784,41.6425213329933
785,41.452594571481
786,41.2863958422076
787,43.7889382141194
788,36.950936113466
789,41.3929643803655
790,36.3658318683396
791,40.3506669579135
792,35.1667655558185
793,37.3450210451635
794,34.9607890079678
795,38.8174315582804
796,38.5946755052766
797,40.6301758240872
798,40.0998834173782
799,36.8370687067296
800,39.3194812300312
801,40.4883113777245
802,40.0254382152201
803,41.1689379325936
804,38.2879631657456
805,35.8719575114236
806,39.110862624164
807,37.838268924554
808,36.7551944339803
809,37.5320764127213
810,39.7776383096238
811,39.958113177389
812,39.9444859750701
813,34.8823225049044
814,39.0256621496279
815,39.0749326434611
816,41.9580625461463
817,39.7911516529411
818,39.7183557951099
819,40.7764577556411
820,41.1582543496214
821,40.9025973117474
822,39.3763741108902
823,36.7266812676417
824,41.6059967344098
825,39.1959625062267
826,41.1958185369038
827,38.3575753162204
828,39.1332776993693
829,42.4229575686473
830,42.5726591537987
831,42.5130532813559
832,36.2843986237277
833,41.1147640194724
834,39.9312787178264
835,41.5312214204855
836,36.4428158057463
837,39.9011962632676
838,41.613730852595
839,40.8421469532883
840,40.8456542914158
841,41.6381754608732
842,41.6746429507508
843,39.5428774760927
844,41.0745043062201
845,38.3442343516089
846,41.1712615071765
847,37.0986588081075
848,40.7608729316711
849,40.9147441441432
850,40.5221187142164
851,41.2177328699757
852,41.6176690230004
853,35.4094943560916
854,40.1938438898949
855,40.0479243374198
856,39.5568452418561
857,38.6854670340326
858,40.4927368360994
859,40.7118677875707
860,40.8472347261269
861,41.0395143404859
862,40.2469191019193
863,40.1272455018027
864,39.3225292013183
865,41.7581405455893
866,41.9939581115133
867,40.867846757674
868,41.7526782830595
869,39.6334974088356
870,41.230708540977
871,37.1760751989326
872,42.2293903271264
873,39.2700805522059
874,39.0108934655564
875,38.0750828438869
876,38.217930538496
877,41.3946553326887
878,38.8098727801081
879,37.5407720766109
880,39.6358599700818
881,39.1974257872321
882,38.5244721154555
883,39.0640708034676
884,35.802224892807
885,37.6701160824279
886,40.3962417148102
887,41.6501921065017
888,39.9687119945097
889,42.1997756839763
890,36.3184435284303
891,35.9697114784533
892,41.2775189962678
893,42.5182783482345
894,41.4545589695806
895,41.030450697395
896,40.7374250660179
897,39.7897770515512
898,41.9806708244478
899,41.5724107072821
900,36.521405733546
901,35.0733939226623
902,40.3245846937186
903,38.3142467587564
904,40.178679563593
905,40.4450328930652
906,39.0542842884978
907,37.1440647430698
908,37.0425181768911
909,40.0901195319164
910,41.3115607487702
911,40.3771174192207
912,40.1632819928424
913,41.5470266145727
914,40.1706475845442
915,36.6370831766039
916,37.9453394057584
917,39.5204201708768
918,36.6643759148802
919,38.4800651259261
920,39.7996822793033
921,42.4752968789191
922,41.4334772484425
923,39.4789704226158
924,40.0393938580468
925,37.4599637231484
926,38.5910793328349
927,40.5402116026975
928,40.9361272283169
929,36.4820473195561
930,40.7622400422535
931,41.5619373478746
932,36.3943333405108
933,41.2020684995039
934,41.8259670553094
935,42.173077221577
936,35.7266325223928
937,39.8578775689517
938,39.6501278874512
939,38.6806714699282
940,41.8284236555978
941,40.1396760492877
942,36.1871093069257
943,38.9460735973014
944,35.6904087627939
945,38.2708675272908
946,36.7565963561047
947,39.7240681488757
948,39.3720199459266
949,34.7244287135061
950,38.5838323738162
951,40.6441185285121
952,41.3278802431692
953,41.5206372275331
954,41.6178421207734
955,39.5692685723763
956,35.587278687362
957,35.9238101999276
958,40.9278145007717
959,35.0649843279682
960,42.6588928726947
961,38.9644985660797
962,41.2498379491429
963,34.4853303458113
964,40.5930195013516
965,42.3987513621866
966,36.309050173612
967,34.9988422147177
968,40.5400443847933
969,39.3200857968828
970,40.027298093119
971,34.7202404770216
972,41.713327355736
973,35.4179295608902
974,37.0588597126009
975,38.9408147456852
976,38.3316052441093
977,36.9754965885908
978,37.0907371880315
979,40.9395174174412
980,40.5476979809946
981,41.5770709313452
982,39.5262470424138
983,36.9076415660644
984,41.712670165493
985,42.3662098847082
986,37.6059908723051
987,38.4005053945739
988,38.8590866099427
989,36.0589611545672
990,41.9596853103047
991,40.8525772628836
992,42.560414275217
993,38.2350437209144
994,40.8032087647605
995,40.6308587627453
996,42.0824245755124
997,38.3404888507434
998,41.035479314029
999,37.5921615457167
